Investigation_Type,Aircraft_damage,Aircraft_Category,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,Purpose_of_flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Event_Year
Accident,Substantial,Airplane,Mcdonnell Douglas,DC9,No,2,Turbo Fan,Unknown,0,0,1,44,VMC,1979
Accident,Substantial,Airplane,Cessna,140,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,401B,No,2,Reciprocating,Business,0,0,0,2,IMC,1982
Accident,Destroyed,Airplane,Bellanca,17-30A,No,1,Reciprocating,Personal,0,0,1,0,IMC,1982
Accident,Destroyed,Airplane,Cessna,R172K,No,1,Reciprocating,Personal,1,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Navion,A,No,1,Reciprocating,Personal,1,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Beech,19,No,1,Reciprocating,Personal,2,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Cessna,180,No,1,Reciprocating,Personal,3,0,0,0,VMC,1982
Accident,Substantial,Airplane,Cessna,172,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,150L,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Incident,Minor,Airplane,Piper,PA-24-180,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Destroyed,Airplane,Grumman,AA-5B,No,1,Reciprocating,Personal,2,1,0,0,IMC,1982
Accident,Destroyed,Airplane,Cessna,414A,No,2,Reciprocating,Business,8,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Beechcraft,BE-58,No,2,Reciprocating,Personal,1,0,0,0,IMC,1982
Accident,Substantial,Airplane,Maule,M-5-235C,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,210L,No,1,Reciprocating,Personal,0,0,1,1,VMC,1982
Accident,Substantial,Airplane,Bellanca,7GCBC,No,1,Reciprocating,Personal,0,0,2,0,VMC,1982
Accident,Substantial,Airplane,Cessna,182,No,1,Reciprocating,Personal,0,0,2,0,VMC,1982
Accident,Substantial,Airplane,Air Tractor,AT-301,No,1,Reciprocating,Ferry,0,0,0,1,VMC,1982
Accident,Destroyed,Airplane,Piper,PA-28-161,No,1,Reciprocating,Personal,4,0,0,0,VMC,1982
Accident,Destroyed,Airplane,Piper,PA-34-200T,No,2,Reciprocating,Unknown,2,0,0,0,VMC,1982
Accident,Destroyed,Airplane,Cessna,T337G,No,2,Reciprocating,Personal,2,2,0,0,IMC,1982
Accident,Substantial,Airplane,Piper,PA-28R-200,No,1,Reciprocating,Personal,0,0,2,0,VMC,1982
Accident,Destroyed,Airplane,Cessna,206,No,1,Reciprocating,Business,1,0,1,0,VMC,1982
Accident,Destroyed,Airplane,Navion,A,No,1,Reciprocating,Business,3,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Piper,PA-22,No,1,Reciprocating,Personal,1,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Piper,PA-31,No,2,Reciprocating,Unknown,2,0,0,0,VMC,1982
Incident,Minor,Airplane,Rockwell,114,No,1,Reciprocating,Business,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Piper,PA-24-250,No,1,Reciprocating,Business,0,1,0,1,VMC,1982
Accident,Substantial,Airplane,Piper,PA-28R-200,No,1,Reciprocating,Ferry,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,TR182,No,1,Reciprocating,Unknown,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,A185F,No,1,Reciprocating,Unknown,0,2,0,0,VMC,1982
Accident,Substantial,Airplane,Beech,35,No,1,Reciprocating,Personal,0,0,0,3,VMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Instructional,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Mooney,M-20J,No,1,Reciprocating,Business,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Boeing,A75,No,1,Reciprocating,Unknown,0,1,0,1,IMC,1982
Accident,Destroyed,Airplane,Cessna,210,No,1,Reciprocating,Unknown,2,0,0,0,VMC,1982
Accident,Substantial,Airplane,Beech,V35,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Curtis,C46,No,2,Reciprocating,Unknown,0,0,0,3,VMC,1982
Accident,Destroyed,Airplane,Cessna,172M,No,1,Reciprocating,Personal,1,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Piper,PA-28-140,No,1,Reciprocating,Personal,1,1,0,0,VMC,1982
Accident,Substantial,Airplane,Cessna,TU206G,No,1,Reciprocating,Business,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Piper,PA-24-250,No,1,Reciprocating,Instructional,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,172N,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,P210N,No,1,Reciprocating,Personal,0,1,0,3,VMC,1982
Accident,Substantial,Airplane,Cessna,172,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Piper,PA-34,No,2,Reciprocating,Personal,0,0,0,3,VMC,1982
Accident,Substantial,Airplane,Cessna,305 (L-19),No,1,Reciprocating,Unknown,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,182A,No,1,Reciprocating,Unknown,0,0,0,1,VMC,1982
Accident,Destroyed,Airplane,Piper,PA-23-250,No,2,Reciprocating,Unknown,0,2,0,0,Unknown,1982
Accident,Destroyed,Airplane,Cessna,172N,No,1,Reciprocating,Personal,0,0,0,4,VMC,1982
Accident,Destroyed,Airplane,Piper,23-250,No,2,Reciprocating,Personal,0,0,0,2,IMC,1982
Accident,Destroyed,Airplane,Mooney,M20G,No,1,Reciprocating,Personal,1,1,0,0,VMC,1982
Accident,Substantial,Airplane,Cessna,TU206F,No,1,Reciprocating,Personal,0,0,4,0,VMC,1982
Accident,Substantial,Airplane,Cessna,U206,No,1,Reciprocating,Unknown,0,0,3,0,VMC,1982
Accident,Destroyed,Airplane,Piper,PA-28-140,No,1,Reciprocating,Personal,0,1,1,0,VMC,1982
Accident,Destroyed,Airplane,Cessna,210N,No,1,Reciprocating,Personal,4,1,1,0,IMC,1982
Accident,Substantial,Airplane,Cessna,180,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,310L,No,2,Reciprocating,Personal,0,0,0,1,VMC,1982
Incident,Unknown,Airplane,Lockheed,L-1011,No,3,Turbo Fan,Unknown,0,0,0,149,Unknown,1982
Incident,Minor,Airplane,Embraer,EMB-110P1,No,2,Turbo Prop,Unknown,0,0,0,2,VMC,1982
Accident,Destroyed,Airplane,Cessna,414,No,2,Reciprocating,Personal,0,0,3,0,Unknown,1982
Accident,Substantial,Airplane,Beech,P35,No,1,Reciprocating,Personal,0,1,0,1,IMC,1982
Accident,Destroyed,Airplane,Grumman,AA5B,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Piper,PA-28R-201T,No,1,Reciprocating,Personal,0,0,0,3,VMC,1982
Accident,Substantial,Airplane,Beech,A23-24,No,1,Reciprocating,Personal,0,0,0,4,VMC,1982
Accident,Substantial,Airplane,Piper,PA-31-350,No,2,Reciprocating,Unknown,0,0,0,2,IMC,1982
